Country,date,Alt_Mean_co2,lat,long,Alt_Mean_no2,Alt_Mean_ch4,Alt_Mean_o3
New Zealand,2014-03-23,0.00561034406,-108.94999999999999,-317.1100000000001,1.283270431e-08,5.64388791e-06,3.1521269100000006e-05
New Zealand,2014-03-24,0.00517187568,89.72000000000003,-393.87999999999994,1.225662237e-08,5.36286257e-06,3.00040104e-05
South Georgia and the South Sandwich Islands,2014-03-25,0.0017685538200000002,191.68,-188.78,4.40059635e-09,1.6928644e-06,1.0779786900000001e-05
South Africa,2014-03-25,0.00024639926,69.02,11.15,5.962891e-10,2.2583228e-07,1.6185904e-06
New Zealand,2014-03-25,0.0041485158199999995,-357.96,-115.64999999999998,9.6116193e-09,4.40469516e-06,2.2676888400000003e-05
New Zealand,2014-03-26,0.00527513542,188.35999999999996,45.85000000000008,1.2294538619999997e-08,5.26532218e-06,3.0048192400000003e-05
South Georgia and the South Sandwich Islands,2014-03-26,0.00026491773,67.16,-43.22,7.6655404e-10,3.073028e-07,1.6881450000000004e-06
South Georgia and the South Sandwich Islands,2014-03-27,0.0010812001,265.73,-422.40999999999997,3.1352682599999998e-09,1.19328174e-06,6.840150000000001e-06
New Zealand,2014-03-27,0.0047303354499999995,-263.53000000000014,203.41000000000003,1.039061854e-08,4.77580249e-06,2.56026588e-05
New Zealand,2014-03-28,0.00526460176,-11.440000000000012,-274.9700000000001,1.189417125e-08,5.23467033e-06,2.8779988700000004e-05
New Zealand,2014-03-29,0.0046821797,-447.59,-255.70999999999995,9.91351578e-09,4.76452676e-06,2.43381195e-05
French Southern Territories,2014-03-29,0.00103108904,249.14999999999998,317.96,2.5651571499999998e-09,9.6847125e-07,6.2744989000000005e-06
New Zealand,2014-03-30,0.0038956674599999997,199.56000000000003,-109.14999999999998,9.168884729999998e-09,3.9896813000000005e-06,2.2461860299999998e-05
South Africa,2014-03-30,0.00155820742,-485.65000000000003,172.67000000000002,2.41127583e-09,1.4190433300000001e-06,6.5317267e-06
New Zealand,2014-03-31,0.00422949562,-185.16,-295.6400000000001,9.22836919e-09,4.26543102e-06,2.24761403e-05
South Georgia and the South Sandwich Islands,2014-03-31,0.00150023436,-69.74000000000001,-33.75999999999999,3.35598141e-09,1.3642447e-06,7.9480933e-06
New Zealand,2014-04-01,0.00548916316,-203.28999999999988,-562.32,1.2021508840000002e-08,5.37595816e-06,2.9233680570000003e-05
New Zealand,2014-04-02,0.0059763136799999995,-397.0899999999999,-118.80000000000007,1.278482172e-08,5.939399970000002e-06,3.25590741e-05
South Georgia and the South Sandwich Islands,2014-04-03,0.00025807638,51.3,-158.93,7.117494e-10,2.8437103000000003e-07,1.7344331e-06
New Zealand,2014-04-03,0.005244541509999999,-449.26,-176.65999999999997,1.122080592e-08,5.43975158e-06,2.784121845e-05
New Zealand,2014-04-04,0.004439880469999999,-228.48,-672.4500000000002,1.016083801e-08,4.4715383199999995e-06,2.5312723299999997e-05
South Georgia and the South Sandwich Islands,2014-04-04,0.00053069988,-163.93,65.57,7.119569399999999e-10,5.3177262e-07,2.21064745e-06
South Georgia and the South Sandwich Islands,2014-04-05,0.0012944157399999998,-284.33,-537.11,2.21819752e-09,1.2896827300000002e-06,6.684035699999999e-06
New Zealand,2014-04-05,0.00449762576,-5.1899999999999835,-216.96000000000004,1.13524471e-08,4.791625340000002e-06,2.58022947e-05
New Zealand,2014-04-06,0.00284423193,-412.14,151.57999999999998,6.2385575e-09,3.0888439100000002e-06,1.5524839700000002e-05
South Georgia and the South Sandwich Islands,2014-04-06,0.0013511722,-39.14999999999998,-71.42000000000002,3.15604255e-09,1.31212525e-06,7.3392731000000004e-06
New Zealand,2014-04-07,0.00493525326,-366.5,-414.84999999999997,1.2334984860000002e-08,5.37441116e-06,2.79228913e-05
New Zealand,2014-04-08,0.00413187494,-389.68000000000006,-811.3599999999999,1.036108765e-08,4.56389954e-06,2.2911804499999995e-05
South Africa,2014-04-08,0.00026504186,32.4,45.72,9.958594e-10,3.411813e-07,1.7519061000000004e-06
New Zealand,2014-04-09,0.005763403,-472.7,-681.7999999999997,1.499974437e-08,6.732752330000001e-06,3.20690061e-05
New Zealand,2014-04-10,0.00520704626,-678.23,-380.86999999999995,1.1965545559999999e-08,6.135814699999999e-06,2.78414564e-05
South Africa,2014-04-10,0.00026116127,22.75,31.76,9.937511e-10,3.4070197e-07,1.8054695e-06
New Zealand,2014-04-11,0.00446516135,-477.06,-533.74,1.0622384669999998e-08,5.52669926e-06,2.51707179e-05
South Georgia and the South Sandwich Islands,2014-04-11,0.0004929663,-161.21,159.97000000000003,5.4936699e-10,4.5387665e-07,2.1655883000000004e-06
New Zealand,2014-04-12,0.00397848394,-555.34,-480.58000000000004,8.20015136e-09,4.6486294e-06,2.1743776300000003e-05
South Georgia and the South Sandwich Islands,2014-04-12,0.00025488052,10.78,-7.2,8.737489e-10,3.2333273e-07,1.914374e-06
New Zealand,2014-04-13,0.003710995590000001,-432.84,-127.43999999999997,7.73192599e-09,4.53342039e-06,2.1137926800000004e-05
